order_id,region,ts,amount
O00000001,华东,2026-09-01T10:15:00,1200.50
O00000002,华东,2026-09-02T11:00:00,2.675
O00000003,华北,2026-09-03 12:30:00,0.145
O00000004,华北,2026-09-03T12:31:00,88.885
O00000005,,2026-09-04T09:00:00,500.00
O00000006,华南,2026-08-31T23:59:59,10.00
O00000007,华南,2026-09-01T00:30:00+08:00,1.005
O00000008,西南,not-a-date,77.77
O00000009,西南,,77.77
O00000010,西北,2026-13-45 99:99:99,10.00
O00000011,华东,2026-09-05T08:00:00,
O00000012,华东,2026-09-05T08:30:00,N/A
O00000013,华北,2026-08-15T10:00:00,300.00
O00000013,华北,2026-09-15T10:00:00,400.00
O00000014,华南,2026-09-06T10:00:00,-20.00
O00000015,华东,2026-09-07T10:00:00,0.005
O00000016,海外,2026-09-08T10:00:00,7.135
O00000017,华东,2026-09-30T23:59:59,999.99
